algo,params,n_clusters_found,silhouette,calinski,davies,f1_macro,f1_weighted,ari,nmi
KMeans,"{""k"": 2}",2,0.09101592114707228,17.40429510648906,2.8937202816709693,,,,
MiniBatchKMeans,"{""k"": 2}",2,0.09101592114707228,17.40429510648906,2.8937202816709693,,,,
Agglomerative(ward),"{""k"": 2}",2,0.09101592114707228,17.40429510648906,2.8937202816709693,,,,
Agglomerative(average),"{""k"": 2}",2,0.07812907929105407,1.3336276410191796,0.8597357698483532,,,,
Spectral,"{""k"": 2}",2,0.07812907929105407,1.3336276410191796,0.8597357698483532,,,,
Birch,"{""k"": 2}",2,0.09101592114707228,17.40429510648906,2.8937202816709693,,,,
GaussianMixture,"{""k"": 2, ""cov"": ""diag"", ""reg"": 1e-06}",2,0.03160587355677731,12.189853375194605,3.2195374068325253,,,,
KMeans,"{""k"": 3}",3,0.07701776911611385,15.23089745856728,2.9299482873045224,,,,
MiniBatchKMeans,"{""k"": 3}",3,0.09516606273376237,12.732537996889237,2.3958851878715457,,,,
Agglomerative(ward),"{""k"": 3}",3,0.07734493687458185,15.579390721035821,2.9862922197583384,,,,
Agglomerative(average),"{""k"": 3}",3,0.08931186293907867,9.456318658719802,2.2000016408078817,,,,
Spectral,"{""k"": 3}",3,0.04829695174446561,1.264850734909586,0.8918169304232045,,,,
Birch,"{""k"": 3}",3,0.07734493687458185,15.579390721035821,2.9862922197583384,,,,
GaussianMixture,"{""k"": 3, ""cov"": ""diag"", ""reg"": 1e-06}",3,0.05723597304143444,13.781198304849097,2.6079937620011546,,,,
KMeans,"{""k"": 4}",4,0.09715529800758763,14.934223505030744,3.0255416592438698,,,,
MiniBatchKMeans,"{""k"": 4}",4,0.08667089813590984,12.97336115281093,2.8566606297675943,,,,
Agglomerative(ward),"{""k"": 4}",4,0.09235923731680248,14.966010763774612,2.9690953411542096,,,,
Agglomerative(average),"{""k"": 4}",4,0.08201656697106546,7.060758627464508,2.3710627815285763,,,,
Spectral,"{""k"": 4}",4,0.04278735749777379,1.2646340658962683,0.8891632290647857,,,,
Birch,"{""k"": 4}",4,0.09235923731680248,14.966010763774612,2.9690953411542096,,,,
GaussianMixture,"{""k"": 4, ""cov"": ""diag"", ""reg"": 1e-06}",4,0.0675126620102886,11.467714141232474,3.957930165935667,,,,
KMeans,"{""k"": 5}",5,0.1084158919403902,14.048618677896428,2.740114818652515,,,,
MiniBatchKMeans,"{""k"": 5}",5,0.0944050505410714,11.52385950733848,2.981250646655367,,,,
Agglomerative(ward),"{""k"": 5}",5,0.0999224762213451,14.011778604997874,2.7312753299597015,,,,
Agglomerative(average),"{""k"": 5}",5,0.0825314152688891,6.295127862190258,2.4095239741917185,,,,
Spectral,"{""k"": 5}",5,0.035223424057275354,1.3826672706738317,1.4574367073018013,,,,
Birch,"{""k"": 5}",5,0.0999224762213451,14.011778604997874,2.7312753299597015,,,,
GaussianMixture,"{""k"": 5, ""cov"": ""diag"", ""reg"": 1e-06}",5,0.07520678089837662,10.307382091411048,3.575415071243828,,,,
KMeans,"{""k"": 6}",6,0.11829453192069912,12.910959702595266,2.645219118736644,,,,
MiniBatchKMeans,"{""k"": 6}",6,0.09593211405600224,10.912912732935029,2.8045473566163355,,,,
Agglomerative(ward),"{""k"": 6}",6,0.11321933492710508,12.909460067733363,2.606975239098405,,,,
Agglomerative(average),"{""k"": 6}",6,0.08470952885448252,5.588366486666326,2.364234050465931,,,,
Spectral,"{""k"": 6}",6,0.031003353151277228,1.4113448194949192,1.5256382073353014,,,,
Birch,"{""k"": 6}",6,0.11321933492710508,12.909460067733363,2.606975239098405,,,,
GaussianMixture,"{""k"": 6, ""cov"": ""diag"", ""reg"": 1e-06}",6,0.08501140800082008,9.848467968820595,3.312350176387664,,,,
KMeans,"{""k"": 7}",7,0.11563693109736092,11.795295422365301,2.5713803730930307,,,,
MiniBatchKMeans,"{""k"": 7}",7,0.12200692116045148,11.684729194007268,2.6382035401204362,,,,
Agglomerative(ward),"{""k"": 7}",7,0.12203085964578342,12.162759044734843,2.466386519997248,,,,
Agglomerative(average),"{""k"": 7}",7,0.08570895047342633,5.097114414611866,2.3866928458884615,,,,
Spectral,"{""k"": 7}",7,0.03029345375728585,1.4044551555920508,1.603573802488637,,,,
Birch,"{""k"": 7}",7,0.12203085964578342,12.162759044734843,2.466386519997248,,,,
GaussianMixture,"{""k"": 7, ""cov"": ""diag"", ""reg"": 1e-06}",7,0.1025867237326587,11.039204561900558,2.4708099142138065,,,,
KMeans,"{""k"": 8}",8,0.12746016861243017,11.479355827286884,2.416123788684298,,,,
MiniBatchKMeans,"{""k"": 8}",8,0.11654013655521306,10.093843049737565,2.605979718393077,,,,
Agglomerative(ward),"{""k"": 8}",8,0.1313148570961946,11.603470799542315,2.4453796897011046,,,,
Agglomerative(average),"{""k"": 8}",8,0.08320120212175265,4.551242557651349,2.154639182700239,,,,
Spectral,"{""k"": 8}",8,0.028071334335468445,1.3609988028695426,1.3652539719978276,,,,
Birch,"{""k"": 8}",8,0.1313148570961946,11.603470799542315,2.4453796897011046,,,,
GaussianMixture,"{""k"": 8, ""cov"": ""diag"", ""reg"": 1e-06}",8,0.10104514590033054,9.49841215977708,2.7305663789813073,,,,
