PC,explained_variance_ratio,cumulative_variance_ratio
PC1,0.10162146251070196,0.10162146251070196
PC2,0.0638784172854002,0.16549987979610215
PC3,0.045863050645109274,0.2113629304412114
PC4,0.04018071703471408,0.2515436474759255
PC5,0.027994122881672173,0.2795377703575977
PC6,0.026425287488169497,0.30596305784576716
PC7,0.022073470449597177,0.32803652829536434
PC8,0.020882329165794196,0.3489188574611585
PC9,0.01943261525009409,0.3683514727112526
PC10,0.018222911104975276,0.3865743838162279
PC11,0.017720510616624708,0.4042948944328526
PC12,0.017047980883303025,0.4213428753161556
PC13,0.01606932053661622,0.4374121958527718
PC14,0.01495067079070322,0.452362866643475
PC15,0.013900016987699267,0.4662628836311743
PC16,0.013360150245328686,0.47962303387650296
PC17,0.012138512434628143,0.4917615463111311
PC18,0.010776608703958098,0.5025381550150892
PC19,0.01049156908821912,0.5130297241033084
PC20,0.010213856122848154,0.5232435802261566
PC21,0.009954820289953571,0.5331984005161101
PC22,0.009408178769459511,0.5426065792855697
PC23,0.008687145230475521,0.5512937245160452
PC24,0.008609575239725073,0.5599032997557702
PC25,0.008248464387940822,0.568151764143711
PC26,0.008018304563813337,0.5761700687075244
PC27,0.007736584563377212,0.5839066532709016
PC28,0.0076046989255706965,0.5915113521964723
PC29,0.007554394414185855,0.5990657466106581
PC30,0.007458572777353782,0.6065243193880119
PC31,0.007109115926996689,0.6136334353150086
PC32,0.006998810951457621,0.6206322462664662
PC33,0.006853893817850792,0.627486140084317
PC34,0.006460402866469355,0.6339465429507863
PC35,0.006423555925788095,0.6403700988765745
PC36,0.00636728101367445,0.6467373798902489
PC37,0.006261220387524168,0.6529986002777731
PC38,0.006174211393444365,0.6591728116712174
PC39,0.006127021765816839,0.6652998334370342
PC40,0.005939272270924453,0.6712391057079587
PC41,0.005824983496075766,0.6770640892040345
PC42,0.005720152564170807,0.6827842417682053
PC43,0.005639697279562673,0.688423939047768
PC44,0.005543143809064885,0.6939670828568328
PC45,0.005409026416731568,0.6993761092735644
PC46,0.005363021722204123,0.7047391309957686
PC47,0.0051632333827563845,0.7099023643785249
PC48,0.005132921414331737,0.7150352857928567
PC49,0.004996502328926995,0.7200317881217837
PC50,0.004953965120133108,0.7249857532419168
PC51,0.004880723078245033,0.7298664763201619
PC52,0.004821649943144892,0.7346881262633068
PC53,0.00477992683166881,0.7394680530949757
PC54,0.004648581721130747,0.7441166348161063
PC55,0.004618496443042885,0.7487351312591493
PC56,0.004546644055555093,0.7532817753147043
PC57,0.004470578745112135,0.7577523540598164
PC58,0.0044168877306522214,0.7621692417904686
PC59,0.0043761375409252035,0.7665453793313939
PC60,0.004225534172236622,0.7707709135036305
PC61,0.004190279221043765,0.7749611927246742
PC62,0.00409768236753668,0.779058875092211
PC63,0.004040560128844256,0.7830994352210552
PC64,0.003972226440779105,0.7870716616618343
PC65,0.003946301988098287,0.7910179636499326
PC66,0.0038940818120009758,0.7949120454619336
PC67,0.0038525400442723733,0.798764585506206
PC68,0.0037718241010623317,0.8025364096072684
PC69,0.0036370974402317457,0.8061735070475001
PC70,0.003634356381180004,0.8098078634286802
PC71,0.0035679316242901707,0.8133757950529703
PC72,0.003549871146237512,0.8169256661992078
PC73,0.0034554660126830524,0.8203811322118909
PC74,0.0034188854302092523,0.8238000176421002
PC75,0.003356370520743562,0.8271563881628438
PC76,0.0032735766503821564,0.830429964813226
PC77,0.0032391201274829247,0.8336690849407089
PC78,0.003233916957737242,0.8369030018984461
PC79,0.003151757257421165,0.8400547591558672
PC80,0.003093213921017233,0.8431479730768845
PC81,0.0030440823761171795,0.8461920554530017
PC82,0.003032018965209337,0.849224074418211
PC83,0.002901525398379089,0.8521255998165901
PC84,0.002884461037627549,0.8550100608542176
PC85,0.0028709485228616397,0.8578810093770792
PC86,0.0028133380900277794,0.860694347467107
PC87,0.0027767692690039455,0.863471116736111
PC88,0.002755688490330821,0.8662268052264418
PC89,0.0027013398070764322,0.8689281450335182
