"algo","params","n_clusters_found","silhouette","calinski","davies","f1_macro","f1_weighted","ari","nmi"
"KMeans","{""k"": 2}",2,0.05268327017216718,22.58984167508304,3.444256508375529,"","","",""
"MiniBatchKMeans","{""k"": 2}",2,0.06911675607504864,20.41313185371194,3.2263241375637604,"","","",""
"Agglomerative(ward)","{""k"": 2}",2,0.05108413881614299,22.60906989285358,3.341823332209187,"","","",""
"Agglomerative(average)","{""k"": 2}",2,0.10495551836263121,1.4792209134832524,0.8176161345746487,"","","",""
"Spectral","{""k"": 2}",2,0.10495551836263121,1.4792209134832524,0.8176161345746487,"","","",""
"Birch","{""k"": 2}",2,0.05108413881614299,22.60906989285358,3.341823332209187,"","","",""
"GaussianMixture","{""k"": 2, ""cov"": ""diag"", ""reg"": 1e-06}",2,0.0525858845410801,1.2207693313657604,0.899981019383237,"","","",""
"KMeans","{""k"": 3}",3,0.05973605722418274,21.424585472920818,3.8238555267183627,"","","",""
"MiniBatchKMeans","{""k"": 3}",3,0.036379484128194875,12.443009196619508,3.3566065511323324,"","","",""
"Agglomerative(ward)","{""k"": 3}",3,0.07093598612447588,22.195844546190056,3.2163719323322386,"","","",""
"Agglomerative(average)","{""k"": 3}",3,0.07627751285622834,1.4096549541977144,0.8453444887129903,"","","",""
"Spectral","{""k"": 3}",3,0.0761322877067034,1.4060578164153326,0.8468861531074924,"","","",""
"Birch","{""k"": 3}",3,0.07093598612447588,22.195844546190056,3.2163719323322386,"","","",""
"GaussianMixture","{""k"": 3, ""cov"": ""diag"", ""reg"": 1e-06}",3,0.048372128171414855,8.781272943583364,2.6824199512166254,"","","",""
"KMeans","{""k"": 4}",4,0.07647706186239174,19.386219923101823,3.513250156368628,"","","",""
"MiniBatchKMeans","{""k"": 4}",4,0.05800462377763381,15.618062892720069,3.277806843309856,"","","",""
"Agglomerative(ward)","{""k"": 4}",4,0.07467617355724697,19.76422519447418,2.857021982832037,"","","",""
"Agglomerative(average)","{""k"": 4}",4,0.06513473619283246,1.3849508782591313,0.8495540825742066,"","","",""
"Spectral","{""k"": 4}",4,0.06854199471449368,1.380391807521246,0.8511491148725105,"","","",""
"Birch","{""k"": 4}",4,0.07467617355724697,19.76422519447418,2.857021982832037,"","","",""
"GaussianMixture","{""k"": 4, ""cov"": ""diag"", ""reg"": 1e-06}",4,0.024369333358333276,10.2142550809127,3.3772559792675714,"","","",""
"KMeans","{""k"": 5}",5,0.06283383978342579,16.634283546242546,3.2303959397535946,"","","",""
"MiniBatchKMeans","{""k"": 5}",5,0.05045214911758525,14.299986409393211,2.7120482828602226,"","","",""
"Agglomerative(ward)","{""k"": 5}",5,0.07906671593699564,18.5380086986099,3.644939353081439,"","","",""
"Agglomerative(average)","{""k"": 5}",5,0.06270706384615528,1.504362494060597,1.1813465688770624,"","","",""
"Spectral","{""k"": 5}",5,0.048421291263565355,1.5230670174452923,2.569050363484383,"","","",""
"Birch","{""k"": 5}",5,0.07906671593699564,18.5380086986099,3.644939353081439,"","","",""
"GaussianMixture","{""k"": 5, ""cov"": ""diag"", ""reg"": 1e-06}",5,0.029807539534962273,8.612973073307161,4.865653343359511,"","","",""
"KMeans","{""k"": 6}",6,0.0861095172728223,16.263844247994673,3.4006999897759127,"","","",""
