seq_id,cluster
d1ux8a_,11
d1dlwa_,11
d1dlya_,11
d2gkma_,11
d1ngka_,11
d1s69a_,11
d5v3ta_,11
d2bkma_,11
d4i0va_,11
d2bmma_,11
d1asha_,11
d1vhba_,11
d1ch4a_,3
d2dc3a_,9
d2dc3b_,9
d1ut0a_,9
d4hswa_,11
d1ecaa_,11
d1x9fd_,11
d1x9fb_,11
d1x9fc_,11
d1x9fa_,11
d1gvha1,11
d1jl7a_,11
d1jl6a_,11
d1hbga_,11
d1it2a_,11
d1or4a_,11
d1itha_,11
d3g46a_,11
d4hrra1,11
d4hrrb_,11
d1b0ba_,11
d1wmua_,1
d3d1ka_,1
d1a4fa_,1
d1v4wa_,1
d1cg5a_,1
d1hbra_,1
d1hdsa_,1
d3n48a_,1
d1spga_,1
d2d5xa_,1
d1gcva_,1
d2dfoa_,1
d1jeba_,1
d5euia_,1
d4h2la_,1
d1qpwa_,1
d1outa_,1
d1wmub_,3
d3d1kb_,5
d2aa1b1,5
d1v4wb_,5
d3n48b_,3
d1cg5b_,11
d6ii1b_,3
d1hdsb_,3
d2h8fb_,5
d1spgb_,5
d2d5xb_,3
d1gcvb_,11
d2dfob_,3
d3szke_,3
d1shrb_,3
d1a9we_,3
d1i3da_,3
d1jebb_,3
d5euib_,3
d1qpwb_,3
d1outb_,5
d3bj1b_,5
d1hlba_,11
d1hlma_,11
d1tu9a1,11
d1uc3a_,11
d3lhba_,11
d1bina_,11
d2lh1a_,11
d1emya_,2
d1mbsa_,2
d3vm9a_,2
d3rgka_,2
d1lhsa_,2
d1mwca_,2
d1mbaa_,11
d5ycea_,2
d5ojca_,2
d4mpma_,9
d1q1fa_,9
d2gnwa_,4
d1h97a_,11
d6iyha_,1
d5vlxa_,11
d6hita_,1
d6hitb_,5
d2oifa_,4
d3bcqa_,1
d3bcqb_,5
d3cy5a_,1
d3gdja_,1
d3gdjb_,3
d3gqpa_,1
d3gqpb_,3
d3mjpa_,1
d6ii1a_,1
d2r80a_,1
d2r80b_,3
d3wtga_,1
d3wtgb_,3
d3eoka_,1
d4esaa_,1
d4esab_,5
d3zhwa_,4
d4wchd_,11
d3d1aa_,1
d3d1ab_,3
d3hyua_,1
d3hyub_,3
d4yu3a_,1
d4yu3b_,3
d3mkba_,1
d3mkbb_,11
d2r50a_,4
d3vrfa_,1
d3vrfb_,3
d3hrwa_,1
d3hf4a_,1
d3hf4b_,3
d3qqra_,4
d4h2lb_,3
d5kera_,1
d3at5a_,1
d3at5b_,3
d2zfba_,1
d2zfbb_,3
d3fh9a_,1
d3fh9b_,3
d2raoa_,1
d2raob_,3
d3boma_,1
d3bomb_,5
d5ycha_,2
d3fs4a_,1
d3qm9a_,2
d3qqqa_,4
d6zmxa_,1
d6zmxb_,3
d3bj1a_,1
d1b33a_,0
d1kn1a_,0
d1alla_,0
d1b33b_,0
d1kn1b_,0
d1allb_,0
d1cpca_,6
d1f99a_,6
d1ha7a_,6
d3l0fa_,6
d1cpcb_,8
d1f99b_,8
d1ha7b_,8
d3l0fb_,8
d1b8da_,10
d1liaa_,10
d1eyxa_,10
d1xg0c_,7
d1b8db_,7
d1liab_,7
d1eyxb_,7
d5ooka_,6
d5ookb_,8
d4lmsb_,7
d2vjha_,10
d2vjhb_,7
d2vjta_,0
d2vjtb_,0
d2vmla_,6
d2vmlb_,8
d4lmxb_,7
d4lm6b_,7
d2j96a_,6
d2c7lb_,8
d6hrna_,6
d6hrnb_,8
d5b13a_,10
d5b13g_,7
d5nb4a_,10
d5nb4m_,7
d4rmpa1,0
d4rmpb1,0
d2uula_,6
d2uulb_,8
d5toua_,6
d5toub_,8
d3v57a_,10
d3v57b_,7
d3kvsa_,6
d3kvsb_,8
d2bv8a_,6
